87 226
3  1  1
4  3  1
5  3  2
6  5  1
9  2  5
11 3  1
11 9  1
9  8  1
8  4  1
7  4  1
7  6  1
12 6  6
13 12 7
19 7  1
18 19 2
10 9  1
82 22 1
82 19 1
20 19 1
22 20 1
21 20 1
23 21 1
24 23 1
25 24 1
25 22 1
28 25 1
26 23 1
27 26 1
27 17 1
32 17 1
37 32 1
17 16 1
18 17 1
16 15 1
35 15 1
15 14 1
14 13 1
33 86 1
34 33 1
35 34 1
36 35 1
37 36 1
38 37 1
39 38 1
29 27 1
39 29 1
30 29 1
31 30 1
31 28 1
43 31 1
40 39 1
41 40 1
42 41 1
43 42 1
56 43 1
54 41 1
51 39 1
52 51 1
49 37 1
48 36 1
46 34 1
47 46 1
44 33 2
45 44 1
47 45 1
59 47 1
60 48 1
61 49 1
50 49 1
52 50 1
53 52 3
54 53 1
55 54 1
56 55 1
65 56 2
56 9  5
69 56 2
69 65 2
62 61 1
64 62 1
64 63 1
66 64 2
67 66 2
79 67 1
68 67 2
69 68 2
80 69 1
75 69 15
75 74 9
74 87 2
71 57 2
57 44 1
58 57 1
59 58 1
70 59 1
72 70 1
72 71 1
73 71 1
73 72 1
76 73 1
76 87 1
77 76 1
79 77 1
78 77 1
81 78 1
60 59 1
61 60 1
63 52 1
1 3 1
3 4 1
3 5 2
5 6 1
2 9 5
3 11 1
9 11 1
8 9 1
4 8 1
4 7 1
6 7 1
6 12 6
12 13 7
7 19 1
19 18 2
9 10 1
22 82 1
19 82 1
19 20 1
20 22 1
20 21 1
21 23 1
23 24 1
24 25 1
22 25 1
25 28 1
23 26 1
26 27 1
17 27 1
17 32 1
32 37 1
16 17 1
17 18 1
15 16 1
15 35 1
14 15 1
13 14 1
86 33 1
33 34 1
34 35 1
35 36 1
36 37 1
37 38 1
38 39 1
27 29 1
29 39 1
29 30 1
30 31 1
28 31 1
31 43 1
39 40 1
40 41 1
41 42 1
42 43 1
43 56 1
41 54 1
39 51 1
51 52 1
37 49 1
36 48 1
34 46 1
46 47 1
33 44 2
44 45 1
45 47 1
47 59 1
48 60 1
49 61 1
49 50 1
50 52 1
52 53 3
53 54 1
54 55 1
55 56 1
56 65 2
9 56 5
56 69 2
65 69 2
61 62 1
62 64 1
63 64 1
64 66 2
66 67 2
67 79 1
67 68 2
68 69 2
69 80 1
69 75 15
74 75 9
87 74 2
57 71 2
44 57 1
57 58 1
58 59 1
59 70 1
70 72 1
71 72 1
71 73 1
72 73 1
73 76 1
87 76 2
76 77 1
77 79 1
77 78 1
78 81 1
59 60 1
60 61 1
52 63 1
9  83 0
83 9  0
13 86 0
86 13 0
84 56 0
56 84 0
85 69 0
69 85 0
71 87 2
87 71 2
