建物数 57
建物id  出口のnode_id
1       29 39 31 39 49 41 42 43
2       31 43
3       18 26
4       13 34
5       14
6       16
7       21 22
8       20
9       30
10      8
11      8
12      5
13      4 8 9
14      4 7
15      1
16      38 50 51
17      36 37 49 61 60
18      60 61 62
19      48
20      42 55
21      70
22      56
23      2
24      41 54
25      46
26      45 47
27      58
28      44
29      49 50 52 53 54 55 56
30      73
31      67
32      81
33      79
34      64 66 67
35      56 65 69
36      66
37      76
38      69
39      15 17 32 35 36 37
40      68 69
41      40 51 53
42      39 52 51
43      11
44      29
45      50 62 63
46      28
47      10
48      59
49      12
50      75
51      80
52      9
53      13
54      74
55      59 66 73 76
56      82
57      78
